,expr
48,$\mathsf{Pr}(E')+\mathsf{Pr}(E)=\mathsf{Pr}(\Omega)=1$
49,$q(Y)$
50,"$(\Omega, \mathcal F, \mathsf{Pr})$"
51,$Z_A$
52,$\mathcal D(X)\ge 0$
53,$p=\text{Pr}[L^* > A]$
54,"$\beta_H:=\mathsf{cov}(r_H, r_M)/\mathsf{var}(r_M)$"
55,$X_{t+dt}=X_t + \mu dt + \sigma dW_{dt}$
56,$\rho(X)\ge \mathsf{E}[X]$
57,$u(x)=-v(-x)$
58,$g(x)=1$
59,$F_{\mathbf{v}}(x)=s$
60,${n}-X_2$
61,$U_X > p$
62,$b_i$
63,$\rho(\nu Z) \le \nu\rho(Z)$
64,$\Phi(x):=\int_{-\infty}^x \phi(t)dt$
65,$\mathsf{E}[X]=27.5$
66,$U = A$
67,$X\le l$
68,$U_X < p$
69,$g'(1-p) \frac{q\wedge \alpha}{q}$
70,$rpq$
71,$c>0$
72,$Y=0$
73,$\mathbf \Omega$
74,$\rho(X)=\max_k \mathsf{E}_{\mathsf Q_k}[X]$
75,$1-p_0$
76,$L(X)=k(X-\mathsf{E} X)$
77,$P = \mathsf{E}[Xe^{\pi X}]/\mathsf{E}[e^{\pi X}]$
78,"$(p, 1-g^{-1}(1-p))=(p,\hat p)$"
79,$\mathit{MV}(a)$
80,$Z_4$
81,"$\kappa_i(\mathbf{v}, x)$"
82,"$x=A,L,S$"
83,$c(S)=\rho(\sum_{i\in S} X_i)$
84,$S_X(a)$
85,"$a,b=\pm 1/n$"
86,$\mathbf {X_{2}(a)}$
87,"$x_{1,i}, x_{2,i}$"
88,$1_{X>a}$
89,"$\int_0^\infty -z(x)\,dF(x)=-1$"
90,$k\mapsto k\rho(X)$
91,$\rho_g(X)=\mu+\lambda\sigma$
92,$\hat q$
93,$F_X^{-1}(V)=q_X(V)$
94,$0\le\beta<1$
95,$p>S(x^*)$
96,$a\le X\le b$
97,$P(x)=A(1_{X>x})=g(S(x))$
98,$g(S)\Delta X'$
99,$1<\lambda=k+f$
100,$\rho(X)=\mathsf{E}[X] + c\mathsf{Var}(X)$
101,$1./16=0.0625$
102,"$\alpha>1,0\le\beta\le 1$"
103,$\mathsf{Pr}(A)=1-p$
104,$g''(s)\le 0$
105,$S(x_{max})=0$
106,$\{X=x\}$
107,$\rho_g(X\wedge a)$
108,$Z=(1-p)^{-1}1_{\tilde X>q_{\tilde X}(p)}$
109,$Z_1$
110,"$X_{t-1,1}$"
111,$X_2(10)$
112,"$X_{t,3}$"
113,$X\le x$
114,$r = (g(s)-s)/(1-g(s))$
115,$1_A/\mathsf{Pr}(A)$
116,$\mathsf{TVaR}_1(X)$
117,$\rho(Y)=\rho(X)g(p)=g(q)g(p).$
118,$M(x)=g(S(x))-S(x)$
119,$Y_{1}$
120,$\mathsf{Pr}(X<x)$
121,$g(s)-s$
122,$-U$
123,$\mathsf{Pr}(A)>0$
124,$X_n(\omega)\to X(\omega)$
125,$^{***}$
126,$\bar S(a)$
127,$\mathsf{E}[X_i g'(S(X))]$
128,$\sum (X\wedge a)p$
129,"$\{1,2,\dots, N\}$"
130,$D\rho_{X_g}(X_c)$
131,$(g(s)-s)/(1-g(s))=\iota$
132,"$P_X(a,b] = F(b)-F(a)$"
133,$k > 0$
134,$X_n\downarrow X$
135,$x\to \infty$
136,$\Phi(Z(s))=s$
137,$q^-(p) = \inf\ \{ x\mid F(x) \ge p\}$
138,$Y(\omega_1)\le Y(\omega_2)$
139,$v(A)\le v(B)$
140,$\mathbf {1_{X>x}}$
141,$\alpha_i(a) S(a)$
142,$\mathsf{E}[X]=\mathsf{TVaR}_0(X)$
143,$\mathbf {Z_2}$
144,$\hat{\tilde p}=1-g^{-1}(1-[1-g(1-p)])=p$
145,$\pi(X)=\log(m_X(\alpha)) / \alpha$
146,$\log(\mathsf{E}[e^{\pi X}])/\pi$
147,$E[s|W=t]$
148,$S(x)\gg 0$
149,$1-\beta_i(x)g(S(x))$
150,$S_X(x)=\Phi(-(x-\mu)/\sigma)$
151,$\pi(X) = \rho(X\wedge \alpha(X))$
152,$a(\mathbf{v}) =\mathsf{VaR}_p(X(\mathbf{v}))= q_{\mathbf{v}}(p)$
153,$\mathsf Q \in \mathcal Q$
154,$a=D+S$
155,"$\bar P_{t,0}$"
156,"$0, 8, 10$"
157,$Q(x)/(1-S(x))$
158,$p=1/6$
159,"$\rho_2(X)=\mathsf{E}[X] + \mathsf{cov}(X,Z)$"
160,$\mathbf {g(S)}$
161,$\rho=\mathsf{TVaR}_{0.95}$
162,$f(S_t)=\log(S_t)$
163,$\int_0^\infty xdF(x) =\int_0^\infty xf(x)dx$
164,$u_j(x)$
165,$f_{xx}=-1/S_t^2$
166,$\mathbf {M_{2}\Delta X}$
167,$\mathsf{E}[X\mid \mathcal F_t]$
168,$X$
169,$t+2$
170,$n\ge m$
171,$\mathbf {Z_4}$
172,$|f|$
173,$b$
174,$g'(S(x))$
175,$\mathsf{var}(Y_{d})=\sum_{s>d} \sigma_s^2$
176,$r_l$
177,$\mathbf {Z_8}$
178,"$\rho(Y_{2,0})$"
179,$1+\iota^*=(1+\iota)(1+\tau)$
180,$r_f/(1+r_f)$
181,$L^r$
182,"$\mathsf{E}[(X_i-\mathsf{E} X_i)(X-\mathsf{E} X)]/\mathsf{SD}(X)=\mathsf{cov}(X_i,X)/\mathsf{SD}(X)$"
183,$u(0)=0$
184,$(ng)$
185,$\tilde Z = \mathsf{E}[Z\mid X]$
186,$E[X|X>qp]$
187,$\rho(X) + c = \rho(X+c)\ge \rho(X)  + \mathsf{E}[cZ]$
188,$1-g(S)$
189,$a_{0}$
190,$\bar M_t = \bar P_t - \mathsf{E}[Y_{t}]$
191,$\rho_g(X \wedge a)$
192,$\rho(0)=\rho(0 \times X)=0\times \rho(X)=0$
193,$\rho_g(X)$
194,$\mathbf {\mu}$
195,$\displaystyle\int_\Omega X(\omega)p(\omega)\mathsf{Pr}(d\omega)$
196,"$n={{n}}, p=1/{{p}}={{pf}}$"
197,$\Delta Q_{gc}(a) = a_{gc}-P(X_{0}(a_{gc}))-a$
198,"$\bar S_i = \sum_{j} X_{i,j}p_j$"
199,$\mathcal G\subset\mathcal F$
200,$\tilde X_2 = X_2 - \mathsf{E}[X_2]$
201,$10^{-12}$
202,$\rho(X)=\mathsf{E}[XZ]$
203,"$x\in[0,\infty)$"
204,$\mathsf{Pr}(S_t > a)=\mathsf{Pr}(X_t > a/S_0)=1-\Phi\left([\log(a/S_0)-(r-\sigma^2/2)t]/\sigma\sqrt{t} \right)=\Phi(d^*-\sigma\sqrt{t})$
205,$F_0 = \bar P_{act}-\bar P = R-\bar M$
206,$\mathsf{E}_\mathsf{Q}[X+c]=\mathsf{E}_\mathsf{Q}[X]+c$
207,$X_{-3}$
208,$\bar\delta$
209,$t>0$
210,"$(\Omega, \mathcal F, \mathsf{P})$"
211,$\mathit{LGD}$
212,$\mathsf{E}[L\wedge A]$
213,$\mu_c$
214,$p<0.5$
215,$a_h=2-a_l<2-b_l=b_h$
216,"$F(p)=\mu([0,p])$"
217,$\mathsf{E}_\mathsf{Q}$
218,$\lambda dt\to 0$
219,$0 < p_0 < p_1 < 1$
220,$\mathsf{E}[X] + d(\max(X)-\mathsf{E}[X])$
221,$p\mapsto g'(1-p)$
222,$\omega=0.\omega_1\omega_2\dots$
223,"$\mathbf {X\,\Delta S}$"
224,$BCD$
225,$\beta_i(x)<\alpha_i(x)$
226,$\nu=\nu(p)$
227,$a_1 = a(Y_{1})$
228,$\mathit{NPV}_{\infty}=2\times 2.5=5$
229,$dG/dF$
230,$\mathbf {X(a)}$
231,$M = P - \mu_U= 0.505$
232,$H_k(X)=H_k(Y)$
233,$l(p)$
234,$\bar Q$
235,$\mathsf{E}[N]=2.0$
236,$L_0^{l_1} + L_{l_1}^{l_1+l_2} = L_0^{l_1+l_2}$
237,$\mathsf{E}[X_d]$
238,$X''$
239,$\mathsf{VaR}_{0.7}(X)=2.439 >  2 \times 1.204=2.408$
240,$\mathsf{CTE}^+$
241,$0 < p < 1$
242,$\displaystyle\int_0^\infty xg'(S_X(x))dF_X(x)$
243,$\pi=0$
244,$h(p)=1-g(1-p)=1-(1-p)^{1/3}$
245,$\alpha(\mathsf Q)=\infty$
246,$\gamma$
247,$x\in A$
248,$p_j=\mathsf{P}(X=x_j)$
249,"$F_n,F$"
250,$\mathsf{Pr}(\cup_i E_i)=\sum_i \mathsf{Pr}(E_i)$
251,$\rho(\lambda X)=\lambda\rho(X)$
252,$\nu^{-1}\mathsf{E}[\nu(X)]$
253,$A(1_{X>x})$
254,$g(s)=(\iota+s)/(\iota+1)$
255,"$\max(x, 0)$"
256,$x\mapsto x^{n}$
257,$\mathsf{E}_{\mathsf Q}[X_i\mid X\le a](1-g(S(a))) + a\mathsf{E}_{\mathsf Q}[X_i/X\mid X >a]g(S(a))$
258,$E[G]=1$
259,$\Lambda = \dfrac{E( r_{U} ) - r_{f}}{\sigma_{r_{U}}}$
260,"$\{90,\dots,99\}$"
261,$P = 3.103$
262,$g(s) \ge s$
263,$\mathsf{MONETARY}$
264,$\mathsf{TVaR}_{0.95}(X)=\mathsf{E}[XZ]$
265,$p(\omega)=0$
266,$a(X_i;X) = \lim_{t\to 0} (\rho(X+tX_i)-\rho(X))/t$
267,$\sigma_{U} = \sqrt{1 - 2p - p^{2}} = 0.973$
268,$\sigma_A$
269,$\mathsf{E}[X_1Z]$
270,$\beta$
271,$\mathbf {x}$
272,$\mathit{NPV}_1 = \bar Q - \bar Q = 0$
273,"$X_4, X_5$"
274,"$g:[0,1]\to[0,1]$"
275,$X+Y$
276,$\sup_\mathsf{Q} \mathsf{E}_\mathsf{Q}[X]$
277,$Y=1-X$
278,$A\subset\Omega$
279,$g'(s)\ge 1$
280,$K_h(t):=k(h+t)-k(t)$
281,$\mathscr{E}_i$
282,$\rho_2$
283,$y_c$
284,$\mathsf{E}[X\mid t]$
285,$1-F(q(p));\alpha)$
286,$w(X)=1_{X>X_p}$
287,$\delta=0$
288,$q(0)$
289,$|x|$
290,$Y_n$
291,$X_1+({n}-X_2)$
292,$w=0.06405$
293,$\sum_j Y_j = 0$
294,"$P_X(a,b]=\mathsf P(X\in (a,b])=F(b)-F(a)$"
295,$e^{kx}S(x)\to\infty$
296,"$f(\cdot, \omega)$"
297,$N_i$
298,$\lambda S(x)$
299,$\mathbf {M=g(S)-S}$
300,$t=2$
301,$\mathsf{E}[X_2(a)\mid X_1(a)=x] \le a-x$
302,$0\le s\le 1$
303,$\rho(X) \le 0$
304,$x_{i-1}$
305,$Y_{0}$
306,$\infty-\infty$
307,$\mathsf{j}(a) = \max\{j:X_j < a \}$
308,$s \ne s^\ast$
309,$\mathbf {d=1}$
310,$\sigma_d^2$
311,$P=L + \iota Q = \nu L + \delta a=L(1+\rho)$
312,$\rho(X)=x_p$
313,"$\mu=7.4, \sigma=1.9$"
314,$\mathsf{E}[X]+kR(X)$
315,$\bar q(s/2)\le 2\bar q(s)$
316,$Q_1=0.125$
317,$\mathsf{E}[Z_j\mid X]$
318,"$D_n, D_n^*$"
319,$\rho(X)=\mathsf{E}_{\mathsf{Q}}[X]=\mathsf{E}_{\mathsf{Q}}[\sum_i X_i]=\sum_i \mathsf{E}_{\mathsf{Q}}[X_i]$
320,$a>b_h$
321,$\sum_t Q_t$
322,$0\le \lambda < 1$
323,$\mathbf {t+2}$
324,$-u''(w)/u'(w)$
325,$q(p)=-\log(1-p)\mu$
326,$\mathsf{E}_Q[X_i\mid X]=\mathsf{E}[X_i\mid X]$
327,$1=v+d$
328,$n=2$
329,$\mathsf{P}(1_{U < s}=1)=\mathsf{P}(U < s)=s$
330,$X=U$
331,$X(\omega') = \sum_\omega X(\omega)1_\omega(\omega')$
332,$a'$
333,$U_i$
334,"$\bar P_{0,1}$"
335,$g_i=u_i^{1/b} < u_i$
336,$\rho(X\wedge a)=\bar P(a)$
337,$E(X\wedge a)=\bar S(a)$
338,$1-g(0^+)$
339,$\alpha\not\equiv 0$
340,"$[0,1]\times [0,1]$"
341,"$X_{i,j}\Delta g(S_j)$"
342,$c_i=\displaystyle\sum_{i\not\in S\subset\Omega}\dfrac{|S|!(N-|S|-1)!}{N!}\times$
343,$\mathbf {\sigma}$
344,"$\mathit{MV}(X, a) = a - \rho(X\wedge a)$"
345,$u'(0)=1$
346,$S(x)=0.1$
347,$s=0.01$
348,$\int_a^{a+y} g(S(x))dx$
349,$\sum X_i(a)p$
350,$\beta(x)\le \alpha(x)$
351,$X_1=18$
352,$g(s)$
353,$Z'(s)=1/(\Phi'(Z(s)))=\sqrt{2\pi}\exp(Z(s)^2/2)$
354,$D/L$
355,"$S\,\Delta X$"
356,$a=11$
357,$\rho(X+tY)\ge \mathsf{E}_{\mathsf Q_X}[X+tY]$
358,$\mathsf{E}[X_1]=4.75$
359,$\log(1-1/n)<-1/n$
360,"$, which he describes as the standard way to obtain the $"
361,$\phi(p) = g'(1-p)$
362,$\mathsf{VaR}_p(X_1+X_2)\le \mathsf{VaR}_p(X_1)+\mathsf{VaR}_p(X_2)$
363,$P(X_i(a_{gc}))$
364,$n$
365,$t > 1/3$
366,$\mathsf{E}[u(P-X)]=0$
367,$\mathsf{Var}(\pi)$
368,$g'(S(x))f(x)$
369,"$(lee.west |- lee.north)+(0,-2.5)$"
370,"$D^n\rho_X(X_{i,\cdot})$"
371,$-x^2$
372,$X_n\to X$
373,$r_f/(1+ r_f) = 0.0196$
374,$\mathbf {g_4(s)=s^{0.9}}$
375,$D\rho_{X_n}(X_c)$
376,$f_{opt} =(pb - q)/b$
377,$\{n\mid X(n)\not =0\}$
378,$\mathsf{TVaR}_0(\cdot)=\mathsf{E}[\cdot]$
379,$\mathbf {\iota}$
380,$\rho(X_0+Y) \ge \rho(X_0) + \mathsf{E}[YZ]$
381,$\ge 1$
382,$n-3$
383,$Q = C + lg$
384,"$(1-p, 1]$"
385,$\tilde X-X$
386,$\Delta Q_{ro}(a)$
387,$\mathsf{E}[Z_1]=\mathsf{E}[Y]$
388,$\lim_{x\to\infty}F(x)=1$
389,$\mathsf{E}[X_i]=14$
390,$g^{-1}$
391,$p=0.9973$
392,$M=P-s$
393,$f(x_i)$
394,$\mathcal F'_0\subset\mathcal F_0$
395,$M/EL$
396,$\mathit{EER}$
397,$a(c_1;X) = c_1$
398,"$\delta = 34/39, \nu=5/39$"
399,$\mathsf{P}(\{\omega\})$
400,$A(X)-B(X)$
401,$\rho(X\wedge a) = \sum\rho(X_i(a))$
402,$q(0)=0$
403,$k=c/(e^c-1)$
404,$\Lambda = \dfrac{M - K r_f}{\sigma_U}$
405,$\nu < 1$
406,$\rho_g(X) = \infty$
407,$U''(x)<0$
408,$M = P \mu_U = 0.3$
409,$\bar S_i(a)$
410,$y=$
411,$g'(S(x))=v$
412,$\mathsf{Pr}(\{\omega_1\})=1/3$
413,$\bar Q(a)$
414,$\mathsf{j}(a)=4$
415,$\mathsf{TVaR}_{0.8}(X)$
416,$L/P$
417,$\bar P(a+da)-\bar P(a)$
418,$t+d$
419,$g(0+)M$
420,$Z(\omega)\mathsf{P}(\omega)$
421,$\mathsf{E}[X_0]=80$
422,$\mathbf {X_{1}(a)}$
423,$t > 0$
424,$g'(S(x))f(x)dx$
425,"$k\mathsf{E}[(X_i-\mathsf{E} X_i)(X-\mathsf{E} X)]=k\mathsf{cov}(X_i,X)$"
426,$v_f(\mathsf{E}_\mathsf{Q}[X_i] - \dfrac{\mathsf{E}_\mathsf{Q}[X_i]}{\mathsf{E}_\mathsf{Q}[X]}\mathsf{E}_\mathsf{Q}[(X-a)^+])$
427,"$(\x*0.65, 3.75*2)$"
428,$\rho$
429,$\mathsf{E}_\mathsf{Q}[X_i]$
430,$\hat p = F(x) = 1-g^{-1}(1-p)$
431,"$\min(x_1,x_2)$"
432,${\mathsf{Q}}$
433,$0=\rho(0)=\rho(X-X)\le \rho(X) + \rho(-X)$
434,$c(\mathsf{var}nothing)=0$
435,$f'_-(x)\le f'_-(y)\le f'_+(y)$
436,$v_f\mathsf{E}_Q[X_i]$
437,"$(x_{1,1}, x_{1,2})$"
438,$\sum_n 1/n$
439,"$\displaystyle\int_0^a \alpha_i(x)S(x)\,dx$"
440,"$\beta(X,M)=\mathsf{cov}(X,M)\sigma_M^2$"
441,$X_{-1}$
442,$\mathcal Q=\{\mathsf Q\mid \alpha(\mathsf Q)=0  \}$
443,$A_i$
444,"$a(X,p)$"
445,$r\lambda\mathsf{E}[X]$
446,"$(s,\iota)$"
447,$a-L_0^a(X)$
448,$\tilde Z=\mathsf{E}[Z\mid X]$
449,$S(a+x)=d/dx(\mathsf{E}[X \wedge (a+x)-X \wedge a)$
450,"$[p_{-},p_{+}]$"
451,$y=x$
452,$\inf_x \{  x + \alpha\mathsf{E}[(X-x)^+] + \beta\mathsf{E}[(X-x)^-] \}$
453,$af$
454,$M$
455,$\mathsf{Pr}(\mathsf{var}nothing) =0$
456,$\mathsf{TVaR}_{p^\ast}$
457,$\mu=0.107$
458,$E(X_{-1}(a))$
459,$g'(S_X)$
460,$j > 0$
461,$a=\sum_i a\alpha_i(a) = \sum_i\kappa_i(a)$
462,$\mu=0$
463,$x>1$
464,$F(p)=p$
465,$X_i$
466,$q_{\tilde X}$
467,$a\le \dfrac{P-S}{\iota} + P\approx \dfrac{P-\mathsf{E}[X]}{\iota} + P$
468,$\omega\in \Omega$
469,$Y_c=(Y\mid Y > y_c)$
470,$(m_1-m_0)/s_1$
471,$q_B(p)=\sup B$
472,$\mathsf{E}[X]+k\mathsf{var}(X)$
473,$M_1\Delta X$
474,"$(a,b]$"
475,$\rho(m)=\rho(0)-m$
476,$\mathbf v$
477,"$\omega=(1,0,0,1,0,0,\dots)$"
478,$g(S(x))=1$
479,$0 < s < 1/4$
480,$r_h$
481,$X\ge a$
482,$Q$
483,$p\delta_p$
484,$y^{\ast}$
485,$\nu=1/(1+\iota)$
486,$\mu=0.1$
487,$s_1=0$
488,$p=0.4$
489,$g(S_{X}(x))$
490,$\mathsf{Q}(B_k)=\mathsf{P}(B_k)/\mathsf{P}(B_k)=1$
491,$m(t^\star)=3m/4$
492,$n_s(1-g(s))$
493,"$g,h:[0,1]\to [0,1]$"
494,$x_{(j)}-x_{(j-1)}$
495,$\mathsf{SRM}$
496,$v\in V_X$
497,$a(X_i)$
498,"$\mathsf{var}(W)=\sum_{d\ge 0} \mathsf{var}(Y_{-d,d})$"
499,$\mathsf{E}_{\mathsf{Q}}[X]$
500,$A/L$
501,$a_{2}$
502,$\rho_g(X)=\bar P$
503,$\arg \min_{q \in \mathbb{Q}} E_q[U(a)]$
504,$X=X_1+X_2$
505,"$n=(0.702, 1.163)$"
506,$\sum_i$
507,$\phi'(p)$
508,"$(X_{1,j},\dots,X_{m,j})$"
509,$E(X\wedge a)$
510,$1/6$
511,$\mathsf{Pr}(\{\omega_2\})=2/3$
512,"$\Omega=\{\omega_1,\omega_2,\omega_3,\omega_4\}$"
513,$a(X_i;X)\ge \mathsf{E}[X_i]$
514,$\nu = 1/\lambda$
515,$\alpha \le 1$
516,$n\times m$
517,$\mathsf{Q}$
518,${6 \choose 2}=15$
519,$\mathsf{E}[X \mid U]$
520,$\sup(\lambda X)=\lambda \sup(X)$
521,$P+Q=a$
522,$k=2$
523,$f(x) \to 0$
524,$X=1$
525,$v_1X_1(1)$
526,$\pi=\Pi/p\nu(p)$
527,$\mathcal{N}_X(X_i(a))$
528,$\mathcal B_p$
529,$S(x)\le s^*$
530,$q_A \le q_B$
531,"$A_2=[\epsilon, \epsilon]$"
532,$X=\sum_i X_i$
533,$K = A - P$
534,"$(1-g(s), 1-s)$"
535,"$r=1,2,3,4$"
536,$0=x_0<x_1<\cdots<x_n=1$
537,$\mathsf{Pr}(E\mid A) = \mathsf{Pr}(E\cap A) / \mathsf{Pr}(A)$
538,$P=a - v(a-L)$
539,$S(M-)$
540,"$X_{t+1,2}$"
541,$7$
542,$\nu F(a)$
543,$\mu_d$
544,"$[0,1]\to[0,\infty)$"
545,$\mathsf{SA}$
546,$Y\le X+\Vert X-Y\Vert$
547,$Y_1$
548,$\sup \{ \mathsf{E}[X\mid A] \mid \mathsf{Pr}(A) > 1-p) \}$
549,$X=g(Z)$
550,$P = \mathsf{E}[X] + \pi\mathsf{Var}^+(X)$
551,$Y\mid Y > y_c$
552,$a_1' = a_0-X_1$
553,"$X_{t-1,3}$"
554,$\mathbf{B}(t)$
555,$\mathsf Q\in\mathcal Q(X)$
556,$g''<0$
557,$g(w s_1 + (1-w)s_2) \le w g(s_1) + (1-w) g(s_2)$
558,"$k=1,\dots,m$"
559,$S_t=S_0 X_t$
560,"$G=\mathrm{cl}\{\, (\mathsf{E}_\mathsf{Q}[X_i], \mathsf{E}_\mathsf{Q}[X]) \mid \mathsf Q\in\mathcal Q \, \}$"
561,$\rho(-X)$
562,$\mathsf{E}[X]\le \mathsf{E}[Y]$
563,"$[s_1,1]$"
564,"$[0, 1-p]$"
565,$X(\omega)=1-\omega$
566,$1-g(S(x))$
567,$T = \min\{ t:U(t)\le 0 \}$
568,$x_0=q^-(p_0)$
569,"$\beta_i(t\mathbf{v}, x)$"
570,$\lambda=g(\lambda_{obj})$
571,"$[-2\pi, 2\pi]$"
572,"$\mathsf{E}[X_i\,\mathsf{E}[Z\mid X]]$"
573,$X(\lambda\mathbf{v})$
574,"$\bar P_{t,0} = D\rho_{W_t}(Y_{t,0})$"
575,$a>1$
576,$a=R+Q$
577,$k-L_0^k$
578,$p\ge 0$
579,$\mathsf{E}[\iota Q] = \mathsf{E}[\iota]\mathsf{E}[Q]$
580,$\int g(S)$
581,$\mathcal E(X)=\mathsf{E}[(p X^+ + (1-p)X^-)/(1-p)]$
582,$0\le f<1$
583,"$I(q,p)=0$"
584,$1_{X < q(1-s)}$
585,$g - s$
586,$x_i=1$
587,$x\ge q(1-s^*)=:x^*$
588,$\mathsf{TVaR}_0(X)=\mathsf{E}[X]$
589,$X\succeq Z$
590,$0\le w\le 1$
591,$\mathsf{CTE}$
592,$\iota = \dfrac{\delta}{1-\delta}$
593,$X=x$
594,$g^{-1}(s)$
595,$U(0)=2$
596,$\alpha = 0.642.$
597,$s>1-p$
598,$M_i := \beta_ig-\alpha_iS$
599,${}^2$
600,$C_c$
601,$ROL = a + b\ \mathit{EL} + c \ C(t)$
602,$X_2=0$
603,$M=\delta a'$
604,$\alpha(x) S(x)>\beta(x) g(S(x))$
605,$P(X_{-1}(a_{gc}))$
606,$L = \text{E}[L^*\wedge A]$
607,$c(S)$
608,$A\cap B\subset B$
609,$g(s) = 1 - (1 - s)/(1 + r_f + Ck(s))$
610,$X-b\le 0$
611,$a=\mathsf{E}_\mathsf{Q}[X]$
612,$f(x)=(\sqrt{2\pi}x)^{-1}\exp(-(\log(x)-\mu)^2/2\sigma^2)$
613,$r_f=0$
614,$\mathsf{VaR}_p(X)-f(\mathsf{VaR}_p(X))$
615,$MX$
616,$\mathsf{E}_\mathsf{Q}[\lambda X] = \lambda \mathsf{E}_\mathsf{Q}[X]$
617,"$\displaystyle\int_0^{1-g(S(a))} \kappa_i(q(1-g^{-1}(1-p)))\,dp + a\beta_i(a)g(S(a))$"
618,$X(\omega)=\exp(10 + 2\Phi^{-1}(\omega))$
619,$g(s)=\nu s + \delta$
620,$\mathsf{E}[W\tilde X] \le \rho(\tilde X)$
621,$W$
622,$\mathsf{var}nothing$
623,$f=f_x=f_{xx}$
624,$1_A$
625,$\wedge$
626,$g'(s)$
627,$a$
628,$\mathsf{E}[Y]$
629,$\rho(X)=\rho(\mathsf{E}[X]+X-\mathsf{E}[X])=\mathsf{E}[X] + \rho(X-\mathsf{E}[X])$
630,$\mathsf{E}_\mathsf{Q}[X]$
631,$X\wedge l$
632,"$X_{t-d,d}$"
633,$\alpha(\mathsf Q)=0$
634,$\bar q_{X_1+X_2}(s) \approx \bar q(s/2)$
635,$X_2$
636,"$(s,g(s))=(0.2,0.36)$"
637,$\mathsf{E}[kX]=k\mathsf{E}[X]$
638,$                 \& $
639,$\inf_x\{ x + c{(X-x)^+} \}$
640,$P(X\wedge a)$
641,$x_2(S(x_1)-S(x_2))=x_2\mathsf{P}(X=x_2)$
642,$1-g(S(a))$
643,$\mathsf{E}_\mathsf{Q}[X_i \mid X]=\mathsf{E}[X_i \mid X]$
644,$\| Z \|^*= \sup\ \{ \mathsf{E}[YZ] \mid \| Y \| \le 1 \}$
645,"$Y_{1,0}$"
646,$\nu^{\ast}$
647,$A(\lambda X)=A(\lambda X)$
648,$dF$
649,$\downarrow\downarrow$
650,$\rho_2(X_1)=1$
651,$-X$
652,"$[x_1, x_2]$"
653,$v_f(\mathsf{E}_\mathsf{Q}[X_i] - \mathsf{E}_\mathsf{Q}[X_i/X(X-a)^+])$
654,$\kappa_i(x)$
655,$\mathbf {g_2(s)=s^{0.5}}$
656,$r-r_L$
657,$\mathbf {S\Delta X}$
658,$\alpha_i(x) S(x)$
659,$(g(s_0)-g_0)/s_0 = g'(s_0)$
660,"$\mathbb{Q} = \left \{ q:I(q,p) \le I^* \right \}$"
661,$\rho=0$
662,$\mathsf{E}_{\mathsf Q}[\cdot]$
663,$\mathbf {Q}$
664,$s=f'(x_0)$
665,$\rho(X)=\sup(X)$
666,$g(0+)>0$
667,$S(x)=e^{-\beta x}$
668,"$s_g, s_b$"
669,$1000$
670,$da>0$
671,$\mathbf {\beta_{2}g(S)\Delta X}$
672,$\mathsf{P}(X=0)=0.4$
673,$u'''\ge 0$
674,$0\le \lambda_1 \le 1$
675,$\rho(X+tY)\ge \mathsf{E}_{\mathsf Q_X}[X+tY]=\mathsf{E}_{\mathsf Q_X}[X]+\mathsf{E}_{\mathsf Q_X}[tY]=\rho(X)+t\mathsf{E}_{\mathsf Q_X}[Y]$
676,$P_X$
677,$x_1+x_2=x$
