,expr
54,$\rho(0) = \rho(0+0)\le \rho(0)+\rho(0)$
55,$Z=\sigma(U)$
56,$X\le 0$
57,$p_i=i/(N+1)$
58,$\rho_m(X\wedge k)$
59,$w(s)$
60,$\mathsf{Pr}(X<0)=0$
61,$\not\Rightarrow$
62,$\rho(X \wedge a)$
63,$E=\tau=0$
64,$m=mg^{ak}/g^{ak}$
65,"$[t_2,1]$"
66,$y>0$
67,$v=(1+i)^{-1}$
68,$E_{\Bbb{Q}}[X] := E[Xg'(S(X))]$
69,$1-S(a)=F(a)=(\nu + \delta)F(a)$
70,"$(Alice)+(0,-2.5)$"
71,$\lambda / p$
72,$R_2=C_2$
73,$\tilde p=1-g(1-p)$
74,$R_i > C_i$
75,$-\log(1-\Phi(x))$
76,$g(s) = \dfrac{r_o+s(1+r_K)}{1+r_o+r_Ks}$
77,$\alpha_\epsilon=\alpha$
78,"$\mathscr{P} =\{1+\lambda(\zeta-\mathsf{E}\zeta) \mid \zeta\ge 0, \|\zeta\|_q\le 1 \}$"
79,$r_c\le r_i$
80,"$(A.north east)+(0.1, -0.05)$"
81,$\hat\rho(A_0)\ge \rho(A_0)$
82,$1=P(x) + Q(x)$
83,$G>c(x)$
84,"$(X-a)^+=\max(X-a, 0)$"
85,"$(Alice)+(0,-3.5)$"
86,$\phi\equiv 1$
87,$xy^4 / (x^2 + y^8)$
88,$\beta_i(t)/\alpha_i(t)$
89,$X=X(\bar x)=G\circ F(\bar x)=GF(\bar x)$
90,$X(\omega)=q(T(\omega))$
91,$\mathsf{E}(X_i/X ; X > a)$
92,$g=2\nu^4/(1-f)+3c+1$
93,$Y=c\in \mathbb R$
94,$R(x)=pd_i+(v-\nu^*)\sqrt{pq}$
95,$st=k$
96,$X\ge X+Y$
97,"$L_{p,p+\delta}$"
98,$s^*=1-p^*\le 1$
99,$\rho(X) = sup_Q \mathsf{E}_Q(X)$
100,$\bar P=\bar P_1+\bar P_2$
101,$1 for each $
102,$S_g = g\circ S$
103,$\pi(x)$
104,$\int S$
105,$\Delta\tilde p > \Delta p$
106,"$(0,1)$"
107,$\rho_{(g)}(X)=\int xg'(S(x))f(x)dx$
108,$\tpx=e^{-1}$
109,$\{ r_i \}$
110,"$p \in [1,\infty]$"
111,$\approx\sqrt{2Np}$
112,$\rho(X)=\int_0^1 q(p) \phi(p) dp$
113,$g_0$
114,$qq$
115,$q_{X+Y}=q_X+q_Y$
116,"$(fun2.north west)+(-\spcer, \spcer)$"
117,$p(1-\nu(p)-il(p))$
118,$0.725$
119,$D$
120,$=P=\mathrm{MV}(X\wedge a)$
121,$\Delta \tilde p\times T$
122,$L_0$
123,$\int_{1-p}^1 \phi(t)dt =\int_0^p \phi(1-t)dt=g(p)$
124,$x$
125,$\mathsf{E}[X_1g'(S(X))]$
126,$\mathsf{E}(X\wedge a)$
127,$0\le\beta<1$
128,$\rho_{t+1}(X)$
129,$X_i(X\wedge a)/X$
130,$P=\nu(\bar S + \iota a)$
131,$\rho_i(X_i)$
132,$\downarrow$
133,$\nabla_x f= \nabla_xq_\alpha -\nabla_x G$
134,$\eta\gg\zeta$
135,$v-\nu^*=\delta^*-d$
136,$\sup_n \| X_n \|< \infty$
137,$A=P+Q$
138,$B = g^{b} \pmod{p}$
139,$\alpha$
140,$X=C(\bar x)+N(\bar x)=$
141,$X_1$
142,$\mathrm{PQ}$
143,$v-\nu^*=(\iota^*-i)/v\nu^*$
144,$\mu_X\le\mu_X$
145,$\lambda X$
146,$g(x)\ge x$
147,$\rho(A_k)\le\hat\rho(A_0) + k\rho(N)=\hat\rho(A_k)$
148,$\rho_t$
149,$Z=\mathsf{E} Z$
150,$\beta$
151,"$(A.north east)+(0.2, -0.05)$"
152,$\tilde\rho_T=\rho_T$
153,$>$
154,$c_h>c=\mathsf{VaR}$
155,$a\ge c$
156,$F(x)=\mathsf{Pr}(X\le x)$
157,$X_i(x_i)$
158,$P + \rho_i(F_i) < \rho_i(X_i) \iff  P < \rho_i(X_i) - \rho_i(F_i)$
159,$\tilde \rho$
160,"$L^\infty(\Omega, \mathsf{P})$"
161,$0\le Y\le 1$
162,$R(a)=\delta N(a)$
163,$\bar P$
164,$F_Y$
165,"$(fun3a.south -| fun3a.south east)+(\smlspc,-\smlspc)$"
166,$\sigma(1-t)=g'(t)$
167,$g'(1-p) dp$
168,$\mathsf{E}(X) = \int_0^1 q(p)dp$
169,$(3) \rightarrow (9 = 9) \rightarrow (27 = 4) \rightarrow (12 = 12) \rightarrow (36 = 13) \rightarrow (39 = 16) \rightarrow (48 = 2) \rightarrow (6 = 6) \rightarrow (18 = 18) \rightarrow (54 = 8) \rightarrow (24 = 1)$
170,$t=T_x<n$
171,$\le 89$
172,"$\tilde F, \tilde S$"
173,"$u : (a, b) \to \mathbf R$"
174,$\inf_t\ \{ t+(1-\alpha)^{-1}\mathsf{E}(Z-t)_+ \}$
175,$a=\mathsf{E}[X|A]$
176,$X_u$
177,$\sup$
178,$\mathsf{E}(L) = q(p)$
179,$p\delta -q\nu=p-\nu$
180,"$(lee.east |- lee.south)+(0.375,-0.25)$"
181,"$(g^k, Pg^{ak})$"
182,$X=x$
183,$\phi_Q=1-\phi_W$
184,$(X+Y-x-y)_+\le (X-x)_+  (Y-y)_+$
185,$g(S(a))$
186,$\int_0^\alpha$
187,$a-L$
188,$pd_i=F(x)d_i$
189,$g''(t)=-\phi'(1-t)\le 0$
190,$\lambda^Q$
191,$F_i = X_i(1 - (X\wedge a)/X)$
192,$\mathscr{P}=\{ dQ/dP\le 1/\alpha\}$
193,"$178.7 billion of expenses. Commissions and brokerage accounted for 25.1 percent and claim adjustment services for 13.5 percent of the total. Taxes licenses and fees were 6.3 percent. However, their remaining expense items are broken out by expense category, such as employee salaries and benefits or advertising, rather than insurer value-add function. They also reported a cost of capital of 13 percent, applied to equity capital of $"
194,$\zeta=\zeta(G)$
195,$ and the average thickness of the difference in support sets must be zero because the two support sets have the same measure $
196,$O(mn\times n^2)$
197,$F=(X-a)^+$
198,$mX$
199,$\rho(X)\ge 0$
200,$=dP(a)/da = g(S(a))$
201,$\mathsf{VaR}_p(X)$
202,$X=4$
203,$p=1-g^{-1}(1-\tilde p)$
204,$\bar x\mapsto \sum_i F_i(\bar x)$
205,$\mathsf{E}(W/X | X\ge x)$
206,$F_0$
207,$\zeta_t=0$
208,$\phi(s)=g'(s)=s^{1/\rho}/(s\rho)$
209,$EL_a =\mathsf{Pr}(Y>a)=1-\exp(-\lambda S(x))$
210,$YL$
211,$X\le 0\implies\rho(X)\le 0$
212,"$u_1,\dots, u_n$"
213,$t_2-\epsilon/2$
214,$F_t$
215,$p=F(\mathsf{E}(X))$
216,$1 \times 10^{24}$
217,$\nabla (\zeta NF) = \zeta\nabla NF$
218,$p=p_a$
219,$\iff$
220,"$L,P,M,Q,a,LR,PQ,COC$"
221,$\approx$
222,$\mathsf{E}(X_i\mid X)$
223,"$\eta\gg \zeta:[0,1]\to\mathbb{R}$"
224,$\phi:=\rho\circ F$
225,$i=0$
226,$\iota^*$
227,$\partial a/\partial x_1$
228,$\mathsf E[X_i]$
229,"$\rho(Z)=\sup_{\zeta\in\mathcal{A}} \langle \zeta, Z \rangle$"
230,"$\Omega=[0,1]$"
231,"$s\in[0,1]$"
232,$\bar\nu=1/(1+\bar\iota)$
233,$\rho(X+m)=\rho(X)-m$
234,$K = A^{k}=g^{ak} \pmod{p}$
235,$\rho E/(1-\tau) - rA$
236,$=E(X_i / X)$
237,$\mathscr{O}(\eta)$
238,"$\mathbf{x}=(x_1,\dots,x_n)$"
239,$t_1<t<t_2$
240,$K_i = \mathsf E[X_i \mid X \ge a] - \mathsf E[X_i]$
241,$\theta < 1$
242,$R_2(t)$
243,$q_p(\mathbf{x})=\mathsf{VaR}_p(X(\mathbf{x}))$
244,"$(Bob) + (0,-2)$"
245,$C < cx/a$
246,$g^{ks} = r^s$
247,$q=S(x)$
248,$1/\nu=1+\rho$
249,$\rho(X)=\mathsf{E}_Q(X)$
250,$R_2(t)\approx \mathsf{E}[X_2]$
251,"$k=1,2,\dots,n-1$"
252,$\rho_k$
253,$\mathsf{E}[e^sX]<\infty$
254,$\mathcal F_1 = \sigma(N)$
255,$B=\{ \omega\in\Omega \mid \zeta(\omega)>0 \}$
256,$1-g(S(x))=\tilde F(x)$
257,"$a, b$"
258,$\xtext$
259,$\bar h$
260,$g'(S(x))dF(x)$
261,$1=S(a) + \delta F(a) + \nu F(a)$
262,$\Omega=\mathbb{R}$
263,$\mathsf E[XY]\not=\mathsf E[X]\mathsf E[Y]$
264,$\sum \alpha_i=1$
265,$Z_p^\times$
266,$h_\epsilon$
267,$\rho(X) = \mathsf{E}(X) + \| (X-\mathsf{E} X)_+ \|_p$
268,$\mathbb{R}_+=[0\infty)$
269,$\delta_p+\nu_p=1$
270,$Z=g'(S(X))$
271,$\rho=0.6$
272,$\rho(L) = q(p)>q(p)$
273,$\mathsf{E}(X\mid X > a)$
274,$L^\infty$
275,$p(\nu_p-l_p)$
276,$\rho(B(s_u)) - \rho(B(s_l))$
277,$\rho(X)=  (1+r_f)^{-1}\mathsf{E}_Q(X)$
278,$(1-{}_b\bar V)$
279,$a\theta^2=c$
280,$(1-\nu_p-il_p)/(\nu_p-l_p)=\iota_{1/2}$
281,$p=23$
282,$\nu=1/(1+\iota)=1-\delta$
283,$X=X_1+X_2+X_3$
284,$\rho(-k_i 1_{A_i}) \le c < 0$
285,$\bar a_x$
286,$a=1/c$
287,$\rho(-1_{A^c})=0$
288,$c=\bar A^{1}_{x:\lcroof{1}}/\bar a_{x:\lcroof{1}}$
289,$\mathcal F^G$
290,$\bar a_{x:\lcroof{1}}$
291,$g^ag^k=g^{a+k}$
292,$\pi_X(t)\le \pi_Y(t)$
293,$Y=\sum_i X_iY_i$
294,"$(Alice)+(0,-3)$"
295,$\beta_i(a)/\alpha_i(a) < 1$
296,$(3\times 6 + 2\times 2)/ 8 = 11/4$
297,$g\ge 0$
298,$X(u)$
299,$\displaystyle\int_0^1\phi(s)ds=\displaystyle\int_0^1\displaystyle\int_{1-s}^1\dfrac{\mu(dt)}{t}ds = \displaystyle\int_0^1\displaystyle\int_{1-t}^1ds\dfrac{\mu(dt)}{t}=\displaystyle\int_0^1\mu(dt)=1$
300,$\rho(A)>\hat\rho(A)$
301,$= \rho(B(s_l)) (1 - s) + \rho(B(s_u)) s$
302,$\int_0^1 μ(dt) = 1 - α < 1$
303,$P_idx_i$
304,"$\omega_1,\omega_2\in\Omega$"
305,$X\wedge a$
306,$C_2(0) = \mathsf{E}[X_2]$
307,$X(\mathbf{x})=\sum_i x_i X_i$
308,$\rho(X)=50=:r$
309,$|Z|$
310,$\rho(X)=\int_0^1 q(1-g^{-1}(1-t))dt$
311,$N(1-p)$
312,$1+2c(1-\mathsf{Pr}(Z>\mathsf{E} Z)$
313,$r$
314,$\bar P^a_i$
315,$E_2$
316,$m_j / r_j$
317,$\int_0^x (x-y)^{n-1}dG(y)$
318,$P =\{ Q \mid dQ/dP \le k \}$
319,$\pi = \mathsf E[PR]$
320,$A_{x+b}$
321,$\rho(-X_n)\downarrow 0$
322,$q(\epsilon)\approx q + \epsilon\mathsf{E}_q(X_i)$
323,$\mathsf{E}(Y(a))=\mathsf{E}(Y\wedge a)=\int_0^a S_Y(t)dt$
324,$g'(t)=1-r_0$
325,"$\langle \zeta_{\bar x}, N(\bar x) \rangle$"
326,$\sum_i h^i= 0$
327,$g(S(x))=1$
328,"$(A.north east) + (-0.07mm,0)$"
329,$E(XZ \mid \mathcal{G})=ZE(X \mid \mathcal{G})$
330,"$(\nodespc/2, -\nodespc/2)$"
331,$\{ v_i \}$
332,$\int_0^q = \int_0^{\mathsf{E}_q(X_2)} + \int_{\mathsf{E}_q(X_2)}^q$
333,$q(\epsilon)=q+\epsilon\mathsf{E}_q(X_1)$
334,$1-U$
335,$\log_{10}(N(m))) \propto -bm$
336,$\not=$
337,"$[a, a+da]$"
338,$1_Af_t(X)=1_Af_t(1_AX)$
339,$\mathbf{X}\times\mathbb{R}$
340,$X_i\ge 0$
341,$a>a(f)$
342,$p(a)=\nu S(a) + \delta = S(a) + \delta F(a) = 1-\nu F(a)$
343,$\sigma=0.125$
344,"$D_n,D_n^*$"
345,$X+Y$
346,$X_n \downarrow 0$
347,$\rho(X)=\int_0^1 q(s)g'(1-s)ds$
348,$\mathsf{E}(X) = \displaystyle\int_0^\infty xf(x)dx  = \displaystyle\int_0^1 q(p)dp$
349,$\rho(X^{\oplus n}) \ge \rho(X^{\oplus n-1}) + \mathsf E[X] > \rho(X^{\oplus n-1})$
350,$\pi_\sigma(L)$
351,$X_1\wedge a$
352,$\rho_p$
353,"$p=0,1$"
354,$\hat \rho$
355,$X_p=^d Y_p$
356,$\mathbb{R}^2$
357,$B(b)\approx -b\mu_x$
358,$L(a)=$
359,$1  = m(x) + \nu F(x) = S(x)+\delta F(x) + \nu F(x)$
360,"$I_i\in\{0,1\}$"
361,$Y\ge X$
362,$X(\mathbf{1})$
363,$\bar P'(x)=P(x)$
364,$(34.05-23.81) / (100-34.05)=15.5$
365,$\rho_w$
366,"$(-\x, 2)$"
367,$a=F^{-1}(1-\delta)$
368,"$\sigma=0.5, 1.0$"
369,$Y\wedge a$
370,"$[0,1]$"
371,$\mathcal G$
372,$2/3$
373,$\bar Q'(x)=Q(x)$
374,$G(\bar x)$
375,$F(a)$
376,$p\delta_p$
377,$R_1(t)<\mathsf{E}[X_1]$
378,$5.14\times 10^{19}$
379,$\mathsf{TVaR}_p(X) \le r$
380,$0\le\alpha\le K$
381,$= 10^{1+6+12}=10^{19}$
382,$g^k$
383,$\phi(0)=0$
384,"$g, g^2, \dots,g^{q-1}, g^q\equiv 1$"
385,$||\cdot ||$
386,"$g, g', g''$"
387,"$\Omega=\{1,2,3 \}$"
388,$\sum x_iX_i$
389,$X_1=s$
390,$\mathbb{R}^n\to\mathbb{R}$
391,$X\wedge a\not\in \mathbf{X}$
392,$T_i\circ T$
393,$\delta+\nu=1$
394,$X(\cdot)$
395,$q+p\delta_p$
396,$q_Z(U)$
397,$1_A = 1 - 1_{A^c}$
398,$P=\rho(X\wedge a)$
399,$1-p \ge g^{-1}(1-p) \implies 1-g^{-1}(1-p) \ge p \implies q(1-g^{-1}(1-p))>q(p)$
400,$G=X_1+X_2$
401,$=\rho(B(\mathrm{current\ best\ estimate\ of\ } s)) = \rho(B(s))$
402,"$\zeta, \zeta_t\ge 0$"
403,"$p=0.98,0.99$"
404,"$(3,6-4.724)$"
405,"$=\mathsf{E}(X_{i,2}(a))$"
406,$\square\rho_i$
407,$602.6 billion and converted to net premium based on $
408,"$(r,s)$"
409,$F^{\times}_{23}$
410,$\mu_\sigma$
411,$E_{\Bbb{Q}}[Y]=E[Yg'(S(X))]$
412,$n\times 1$
413,$\phi(s)=\displaystyle\int_{1-s}^1\dfrac{\mu(dp)}{p}=\int_0^s\dfrac{\mu(dp)}{1-p}$
414,"$(Alice)+(0,-1.75)$"
415,$\rho(1_A) \le \rho(1)=1$
416,$1 \times 10^{20}$
417,$\rho(X)<\rho(Y)$
418,$1-U^2$
419,$G=N+C$
420,$\alpha_i$
421,$0<b\le 1$
422,$\mathsf{E}(X)=\mathsf{E}(X\wedge k) + \mathsf{E}(X-k)_+$
423,$g(s)=s^{0.75}$
424,$R_2(1) = \bar P^a_2(1)$
425,$\pi$
426,$yS(a)=y\times 1=y=$
427,$μ$
428,$\bar S(a) = \int_0^a S(x)dx$
429,$S<0$
430,$pl_p$
431,$\mathsf{Pr}(\cdot\mid N)$
432,$\rho(X)=\mathsf{TVaR}_p(X)$
433,$x^{a-1}e^{x/\theta}$
434,$Y=X\wedge a$
435,$\lambda(t)$
436,$δ$
437,$L^tf^*=m$
438,$D_i=\{\omega \mid X(\omega)=a_i\}\in\mathcal{F}$
439,"$f(\cdot, \omega)$"
440,$L_x^{x+dx}$
441,$\lambda=0.0725$
442,$1-\tilde p=g(S(x))=g(1-p)$
443,$\mathsf{E}(U(X))$
444,$V$
445,$1 \times 10^{13}$
446,$\sum_{i\in I}(D_i-N_I)$
447,$0 < t < 0.5$
448,$\bar F(a)=\int_0^a F(x)dx$
449,$\beta=\infty$
450,$\nabla\zeta$
451,$2n$
452,$\mathsf E[A] = \mathsf E[\mathsf E[X^{\oplus N}]] \le \mathsf E[\rho(X^{\oplus N})]$
453,$\beta_i(a)/\alpha_i(a) > 1$
454,$g'(s)=1$
455,$1-p=g(1-\hat p)$
456,$r_i=\rho(X_i)$
457,"$\langle \zeta, G \rangle$"
458,$g(s)=O(d)$
459,$g'(p)=\phi(1-p)$
460,$ be the compound of $
461,$\rho_t = \rho_t(-\rho_{t+1})$
462,$\circ$
463,$\mathsf{TVaR}_\beta\mathbin{\square}\mathsf{TVaR}_\gamma = \mathsf{TVaR}_\gamma$
464,$\rho=\rho_\phi$
465,"$(rep.east) + (1.5,  0.5)$"
466,$\mathsf{E}[h_\epsilon Y]\to\mathsf{E}[h Y]$
467,$\rho =$
468,$\phi(1-t)$
469,$A:=g^a \pmod{p}$
470,$a-L_0^a$
471,$1=v+d$
472,$\nu(p)=p$
473,$\rho(A+B)64.5>63.5=\rho(A)+\rho(B)$
474,$p<\infty$
475,$\alpha_i(X_u)= \text{E}[u_iX_i \mid X_u > F_u^{-1}(p)] = u_i \partial T/\partial u_i$
476,$\alpha_\epsilon-\alpha$
477,$F^{(2)}=[F^{(-2)}]^*$
478,$\mathrm{P}$
479,"$q\in[1, \infty]$"
480,$\uparrow$
481,"$(0.5,1.5)$"
482,$\omega\in\Omega$
483,$\phi(p)=1$
484,$0<a<q-1$
485,$^1$
486,"$(D.south east)+(0.2, 0.05)$"
487,"$t=0,1,\dots, T$"
488,$\int_0^\infty \phi(p)dp=1$
489,$1/t$
490,$X\ge 0$
491,$sgn(z)|z|^{1/(q-1)}/\|z\|_p^{q/p}$
492,$X(x+\epsilon)$
493,$L(a)$
494,$y$
495,$dS = \mathbf{n}dudv$
496,$c_x\approx\lambda$
497,$\delta=\rho/\nu$
498,$F=\Phi$
499,$g(s)=\sqrt{s}$
500,$\rho(A_k) \le \rho(A_0) +  k \rho(N)$
501,$a\theta=1$
502,$g_{\min}(s):=\min_i (g_i(s)$
503,$g(s)=\displaystyle\int_{1-s}^1 \phi(t)dt = \displaystyle\int_0^s \phi(1-t)dt$
504,$\mathsf QV$
505,$\mathrm{LR}$
506,$d$
507,"$x_1,1$"
508,$g\in \nabla\rho(X)$
509,$S_X$
510,$v^b{}_bq_x(1-{}_b\bar V)$
511,$\tilde p=1-(1-p)^{1/\rho}$
512,$d=i/(1+i)=iv=1-v$
513,$\iota a$
514,"$(X-a)^+ = \max(0,X-a)$"
515,$C_1(t) < C_2(t)$
516,$x\times f(x)dx$
517,$-α(α-1)t^{α-1}$
518,$\rho(X^{\oplus n}) = n(v\mathsf E[X] + d\max(X))$
519,"$(\langle X(\epsilon), \zeta_\epsilon \rangle - \langle X, \zeta \rangle)/\epsilon = \langle (X(\epsilon)-X)/\epsilon,\zeta \rangle = \mathsf{E}_Q(\nabla X)$"
520,$>a$
521,$\mathsf{E}[g]\le 1$
522,$\mathsf{Pr}(I=1)=s$
523,$-norm less than $
524,$\bar M_i(a)$
525,$\mathbf{r}\ge 0$
526,$u_i\partial\pi / \partial u_i$
527,$\rho_m(X)=\rho_m(X\wedge k) + \rho_m((X-k)_+)$
528,$\bar P(x) = \bar S(x) + \bar R(x)$
529,$\mathsf{TVaR}_{p^*}$
530,$\rho(1_A) = \rho(1) = 1$
531,"$s,t$"
532,$ρ$
533,$[xf(x)] \times dx$
534,$p<1$
535,"$c\in[0,1]$"
536,$R(x)=pd+(\delta^*-d)\sqrt{pq}$
537,$g'(1-p)=\phi(p)$
538,$\nu=\nu_p$
539,$q=11$
540,$\bullet$
541,$\iff \mathcal A_{t+1}\subseteq \mathcal A_t$
542,$\sigma=0.5$
543,"$n=1,2,\dots$"
544,$\mathcal{A} = \{ X \mid \rho(X)\le 0 \}$
545,$age^2$
546,"$\phi_{\bar x}(Z)=\langle Z,\zeta_{\bar x} \rangle$"
547,$3.2 \times 10^{15}$
548,$P=L + \delta (a-L)$
549,$\mathsf{E}[X\cdot Z\circ T]=\mathsf{E}[X\cdot Z\circ T_B\circ T_A ]=\mathsf{E}[X \cdot Z\circ T_A]=\mathsf{E}[X\circ T_A^{-1}]=\mathsf{E}[X Z]$
550,"$(X,Y)$"
551,$\partial \zeta_{\bar x}/\partial x_i$
552,$\delta = \delta(p) = 1-\nu(p)$
553,$\lim_n \mathsf{E}_{\mathsf{Q}_n}(X)=\rho(X)$
554,$g^a\equiv n\pmod{p}$
555,$P(a) = S(a) + \delta F(a)$
556,$\hat\rho(A_k)$
557,$g'=0$
558,$X=X(I)$
559,$g(s)=\dfrac{r_{occ}+s(1+r_{use})}{1+r_{occ}+r_{use}s}$
560,$\mathsf{Q}_n\in\mathscr{P}$
561,$g^-1(p)$
562,$S=1-F$
563,${}^nS^{-1}_X(t)\le {}^nS^{-1}_Y(t)$
564,$\iota\alpha(X)=\iota a$
565,$\mathsf{E}[Y\mid X] = X$
566,$f^*_i$
567,"$(fun3.north west)+(-\smlspc,\smlspc)$"
568,"$[0, 1]$"
569,"$(fun1a.south east)+(\smlspc,-\smlspc)$"
570,"$(rep.south) + (0.5,  -1.0)$"
571,$\rho^*=\rho(0.5)$
572,$g(S(x))\approx S(x)\approx 1$
573,$=(1-\alpha)\mathsf{TVaR}_\alpha(X)$
574,$B\cup B_t = (B\cap B_t) \cup C_t$
575,"$X^n_t=1_{[1+T_n, \infty)}$"
576,$(p-\nu-il)/(v-l)$
577,"$G(x+th, \omega+d\omega) = c_k(x+th)$"
578,$(k+1)\times 1$
579,$X_n\le 1$
580,"$\langle NF(x), Th_i \rangle+\langle \partial NF/\partial x_i, \zeta_{GF(x)} \rangle$"
581,$\partial a/ \partial x_i$
582,$\rho(I)\rho(X)=g(s)\rho(X)$
583,$\mathsf{Var}(\Pi)$
584,$\nu(p)=1/(1+\rho(p))$
585,"$g:[0,1]\to[0,1]$"
586,$g(S(a))-S(a)$
587,$\delta N(a)$
588,$n$
589,$H(x)$
590,$\rho(X)=\mathsf{E}_Q(X)=\mathsf{E}_Q(Y)+\mathsf{E}_Q(Z)$
591,$\rho(X)\le \rho(Y)$
592,$P_Q = \mathsf{P}[(X-a)V(a)]$
593,$q_j$
594,"$(fun1.north west)+(-\medspc,\medspc)$"
595,$\zeta NF$
596,$a = q_X(0.995)$
597,$S(x)=1=F(x)$
598,$d+v=1$
599,$K=g^k$
600,$b-a$
601,"$(Bob)+(0,-2)$"
602,$X^{\oplus N}$
603,"$(a-X)^+:=\max(a-X, 0)$"
604,$\rho_{1/2}$
605,"$s,t \in[0,1]$"
606,$10^{17}$
607,$M_0$
608,$\int_0^1 Z=1$
609,$\rho(X)=\mathsf{TVaR}_1=\esssup$
610,$\nu < 1$
611,"$\pi : X\mapsto (X, \alpha(X))\mapsto E_g(X\wedge \alpha(X))$"
612,$\rho_m(X) = \mathsf{E}(X) + (\rho_m(X)-\mathsf{E}(X))$
613,$(x-y)^n$
614,"$u\in D_n=\{ u \mid u^{(k)} \ge 0, k=1,\dots,n-1, u^{(n-1)}\text{ nondecreasing} \}$"
615,$\mathsf{E}(XZ \mid \mathcal{G})$
616,$\bar a_{\lcroof{n}}$
617,$(S(x) + \delta(F(x))F(x)) dx$
618,$m + ra = ks$
619,$Q$
620,$n-1$
621,$-1$
622,"$(1-g(S(x)),x)$"
623,$k_0>\ge 2$
624,$\Pi$
625,$\rho_i$
626,$\bar a_x = \bar a_{x:\lcroof{b}} + v^b{}_bp_x\bar a_{x+b}$
627,$v-l$
628,$\delta_p/\nu_p = \rho_p$
629,$\rho(-X+a)=\rho(-X) + a \le 0$
630,$r = g^k$
631,"$(0,1) < 1$"
632,$\mathcal F_1=\sigma(N)$
633,$dt$
634,$Z_1=Z\circ T_A$
635,"$(fun4a.south -| fun3a.west)+(-\medspc,-\medspc)$"
636,$dx=x_{i+1}-x_i$
637,"$x=1.5, M=1.5,\sigma=0.75, K=6$"
638,$ from policyholder as premium and capital $
639,$\hat X_i=\hat x_i$
640,$\nu(dx)$
641,$0.5$
642,$\liminf \rho(X_n) \ge \rho(X)$
643,$M(a)=\mathsf{E}(X\wedge a) + \delta N(a)$
644,$S(x) + \delta F(x)$
645,"$(ckey1.north west)+(-\boundpad,\boundpad)$"
646,$10 million I **must care more** about a loss of $
647,$1.5\times 10^{37}$
648,$Q\in \mathscr{P}$
649,"$a,b$"
650,$\zeta>0$
651,$\mathsf{E}(X_i \mid X \le a)$
652,$X=C+G$
653,$\rho(X)\le\liminf_{n\to\infty} \rho(X_n)$
654,$M_X(k)\le M_Y(k)$
655,$t=t_2$
656,$T_t$
657,$H:\mathcal X\to\mathbb R$
658,$\phi_i = \mathsf{E}(X_i)/\mathsf{E}(Y)$
659,$\mathsf{E}_Q(Y\mid X)\mathsf{E}(Z\mid X) = \mathsf{E}(YZ \mid X)$
660,$g(s) = t_{df}(t_{df}^{-1}(s)+\lambda)$
661,$\rho=\rho(p)$
662,"$2*(1,1)$"
663,$\lambda > 0$
664,$\rho=0.12$
665,${}_nE_x$
666,$\rho(T)\ge T$
667,$p\mathsf{E}[X\mid X<x_p]$
668,$\nu=\nu(p)$
669,$p-\nu$
670,$R>C$
671,$\delta=\log(1+i)$
672,$a=1$
673,$\approx (920+961)/2=940.5$
674,"$(Alice) + (0,-2)$"
