"Acc_number","Functional_classes","Protein_families","Putative_functions"
"AT1G28600","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT1G17860","Proteins with interaction domains (with proteins or polysaccharides)","protease inhibitor","inhibitor family I3 (Kunitz trypsin inibitor family) (subfamily I03.030, MEROPS)"
"AT1G33590","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT3G22060","Unknown function","","expressed protein (Gnk2-homologous domain, antifungal protein of Ginkgo seeds)"
"AT4G25900","Miscellaneous","","aldose-1-epimerase"
"AT5G42240","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL42) (Peptidase family S10.A21, MEROPS)"
"AT1G09750","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A36, MEROPS)"
"AT1G78060","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 3 - GH3 (beta-xylosidase) (AtBXL7)"
"AT3G57240","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase) (BG3) (PR3)"
"AT3G19620","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 3 - GH3 (beta-xylosidase) (AtBXL5)"
"AT3G57260","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase) (BG2) (PR2)"
"AT5G07030","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A54, MEROPS)"
"AT2G06850","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 16 - GH16 (endoxyloglucan transferase) (At-XTH4)"
"AT5G64570","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 3 - GH3 (beta-xylosidase) (AtBXL4)"
"AT1G75040","Miscellaneous","thaumatin","thaumatin (PR5)"
"AT3G14310","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 8 - CE8 (pectin methylesterase - PME) (AtPME3)"
"AT1G47960","Proteins with interaction domains (with proteins or polysaccharides)","pectin methyl esterase inhibitor (PMEI)","plant invertase/pectin methylesterase inhibitor (PMEI) (INH)"
"AT5G67360","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT1.7, ARA12) (Peptidase family S08.112, MEROPS)"
"AT2G05920","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT1.8, AF70) (Peptidase family S08.A24, MEROPS)"
"AT4G00230","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT4.14, XSP1, XYLEM SERINE PROTEINASE 1) (Peptidase family S08.A14, MEROPS)"
"AT1G03230","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A1, subfamily A1B, non-peptidase homologues, MEROPS) (homologous to carrot EDGP and tomato XEGIP)"
"AT1G20850","Proteases","Cys protease","Cys protease (cathepsin family) (XCP2, XYLEM CYSTEINE PEPTIDASE 2) (Peptidase family C01.121, MEROPS)"
"AT5G07830","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 79 - GH79 (endo-beta-glucuronidase/heparanase)"
"AT2G14610","Miscellaneous","","pathogenesis-related protein (PR) 1 / Cys-rich secretory protein (SCP)"
"AT1G03220","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A1, subfamily A1B, non-peptidase homologues, MEROPS) (homologous to carrot EDGP and tomato XEGIP)"
"AT3G44100","Proteins related to lipid metabolism","","expressed protein (MD-2-related lipid-recognition (ML) domain)"
"AT5G03350","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (legume lectin domain)"
"AT5G11420","Unknown function","","expressed protein (DUF642)"
"AT1G21670","Unknown function","","expressed protein (WD40-like beta propeller domain)"
"AT1G01900","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT1.1) (Peptidase family S08.112, MEROPS)"
"AT5G38940","Miscellaneous","germin","germin (subfamily 1 member 11)"
"AT5G13980","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 38 - GH38 (alpha-mannosidase)"
"AT5G06870","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","PGIP2 (LRR domains)"
"AT1G78860","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (curculin-like)"
"AT5G20630","Miscellaneous","germin","germin (subfamily 3 member 3, AtGER3, GLP2, GLP3)"
"AT3G62020","Miscellaneous","germin","germin (subfamily 2 member 4, GLP10)"
"AT4G12880","Oxido-reductases","blue copper binding protein","early nodulin AtEN20 homologous to blue copper binding protein"
"AT5G63800","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 35 - GH35 (beta-galactosidase) (AtBGAL6)"
"AT1G02335","Miscellaneous","germin","germin (subfamily 2 member 2)"
"AT5G55730","Signaling","fasciclin-like arabinogalactan protein (FLA)","fasciclin-like arabinogalactan protein (FLA1)"
"AT2G28470","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 35 - GH35 (beta-galactosidase) (AtBGAL8)"
"AT2G02850","Oxido-reductases","blue copper binding protein","plantacyanin (blue copper binding protein) (AtPNC)"
"AT3G13790","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 32 - GH32 (fructosidase/invertase) (AtcwINV1)"
"AT2G18660","Proteins acting on cell wall polysaccharides","expansin","expansin-like (ATHEXP GAMMA 1.2, EXLB3, EXR3)"
"AT3G16530","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (legume lectin domain)"
"AT5G08380","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 27 - GH27 (alpha-galactosidase/melibiase)"
"AT3G26380","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 27 - GH27 (alpha-galactosidase/melibiase)"
"AT5G44400","Oxido-reductases","berberine-bridge oxido-reductase-like (BBE-like)","berberine-bridge enzyme (S)-reticulin:oxygen oxido-reductase-like (AtBBE-like 26)"
"AT3G15356","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (legume lectin domain)"
"AT3G08030","Unknown function","","expressed protein (DUF642)"
"AT3G18080","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 1 - GH1 (beta-glucosidase) (AtBGLU44)"
"AT1G47128","Proteases","Cys protease","Cys protease (papain family) (Peptidase family C01.064) (RD21A)"
"AT1G78850","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (curculin-like)"
"AT1G68560","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 31 - GH31 (alpha-xylosidase) (XYL1)"
"AT5G23400","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT3G55430","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT1G20190","Proteins acting on cell wall polysaccharides","expansin","alpha-expansin (ATHEXP ALPHA 1.14) (AtEXPA11)"
"AT3G20820","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT4G23500","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT1G71040","Oxido-reductases","multicopper oxidase","multicopper oxidase (LPR2, LOW PHOSPHATE ROOT 2)"
"AT2G34930","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT4G16500","Proteins with interaction domains (with proteins or polysaccharides)","protease inhibitor","proteinase inhibitor family I25 (phytostatin) (cystatin family, I25.033, MEROPS) (AtCYS-4)"
"AT1G33600","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT1G53070","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (legume lectin domain)"
"AT1G78830","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (curculin-like)"
"AT1G69530","Proteins acting on cell wall polysaccharides","expansin","alpha-expansin (ATHEXP ALPHA 1.2) (AtEXPA1)"
"AT1G41830","Oxido-reductases","multicopper oxidase","multicopper oxidase (AtSKS6, homologous to SKU5)"
"AT1G29670","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT4G19410","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 13 - CE13 (pectin acylesterase - PAE) (AtPAE7)"
"AT5G20950","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 3 - GH3"
"AT1G76160","Oxido-reductases","multicopper oxidase","multicopper oxidase (AtSKS5, homologous to SKU5)"
"AT3G52840","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 35 - GH35 (beta-galactosidase) (AtBGAL2)"
"AT3G52500","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A47, MEROPS)"
"AT3G55260","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 20 - GH20 (N-acetyl-beta-glucosaminidase)"
"AT4G22010","Oxido-reductases","multicopper oxidase","multicopper oxidase (AtSKS4, homologous to SKU5)"
"AT5G25460","Unknown function","","expressed protein (DUF642)"
"AT1G65590","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 20 - GH20 (N-acetyl-beta-glucosaminidase)"
"AT3G14067","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT1.4) (Peptidase family S08.A28, MEROPS)"
"AT5G23210","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL34) (Peptidase family S10.A39, MEROPS)"
"AT2G22970","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (SCPL11) (Peptidase family S10.A08, MEROPS)"
"AT4G21650","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT3.13) (Peptidase family S08.A48, MEROPS)"
"AT3G14920","Proteins acting on cell wall polysaccharides","PNGase A","Peptide-N4-(N-acetyl-beta-glucosaminyl) asparagine amidase A"
"AT3G49120","Oxido-reductases","class III peroxidase","peroxidase (AtPrx34)"
"AT2G39850","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT4.1) (Peptidase family S08.A46, MEROPS)"
"AT5G49360","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 3 - GH3 (beta xylosidase 1) (AtBXL1)"
"AT3G10740","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 51 - GH51 (alpha-arabinofuranosidase)"
"AT3G49110","Oxido-reductases","class III peroxidase","peroxidase (AtPrx33)"
"AT5G56590","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT5G44130","Signaling","fasciclin-like arabinogalactan protein (FLA)","fasciclin-like arabinogalactan protein (FLA13)"
"AT4G32460","Unknown function","","expressed protein (DUF642)"
"AT2G45470","Signaling","fasciclin-like arabinogalactan protein (FLA)","fasciclin-like arabinogalactan protein (FLA8)"
"AT3G26720","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 38 - GH38 (alpha-mannosidase)"
"AT4G31140","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT3G54400","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A48, MEROPS)"
"AT5G63810","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 35 - GH35 (beta-galactosidase) (AtBGAL10)"
"AT5G26000","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 1 - GH1 (thioglucoside hydrolase 1) (TGG1) (AtBGLU38)"
"AT4G30270","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 16 - GH16 (endoxyloglucan transferase) (meri-5) (At-XTH24)"
"AT4G26690","Proteins related to lipid metabolism","","glycerophosphoryl diester phosphodiesterase (GDPDL3, GDPL2) (MRH5/SHV3, MORPHOGENESIS OF ROOT HAIR 5)"
"AT2G32810","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 35 - GH35 (beta-galactosidase) (AtBGAL9)"
"AT5G11720","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 31 - GH31 (alpha-glucosidase) (AGLU1)"
"AT4G20830","Oxido-reductases","berberine-bridge oxido-reductase-like (BBE-like)","berberine-bridge enzyme (S)-reticulin:oxygen oxido-reductase-like (AtBBE-like 20)"
"AT2G42800","Proteins with interaction domains (with proteins or polysaccharides)","LRR protein","expressed protein (LRR domains)"
"AT1G54000","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT4G12420","Oxido-reductases","multicopper oxidase","multicopper oxidase (AtSKU5, SKEWED 5)"
"AT5G34850","Miscellaneous","purple acid phosphatase (PAP)","purple acid phosphatase (AtPAP26)"
"AT3G07320","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 17 - GH17 (beta-1,3-glucosidase)"
"AT5G18470","Proteins with interaction domains (with proteins or polysaccharides)","lectin","lectin (curculin-like)"
"AT2G27190","Miscellaneous","purple acid phosphatase (PAP)","purple acid phosphatase (AtPAP12)"
"AT3G16850","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 28 - GH28 (polygalacturonase)"
"AT1G67830","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT5G23870","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 13 - CE13 (pectin acylesterase - PAE) (AtPAE9)"
"AT5G12950","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 127 - GH127 (arabinofuranosidase)"
"AT1G75750","Miscellaneous","gibberellic acid-stimulated Arabidopsis (GASA) protein","gibberellic acid-stimulated Arabidopsis (AtGASA1) protein"
"AT5G14920","Miscellaneous","gibberellic acid-stimulated Arabidopsis (GASA) protein","gibberellic acid-stimulated Arabidopsis (AtGASA14) protein"
"AT1G72610","Miscellaneous","germin","germin (subfamily 3 member 1, GLP1)"
"AT1G31690","Oxido-reductases","","copper amine oxidase"
"AT1G79720","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A07, MEROPS)"
"AT3G61820","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A13, MEROPS)"
"AT3G18490","Proteases","Asp protease","Asp protease (pepsin family) (Peptidase family A01.A09, MEROPS) (ASPG1, ASPARTIC PROTEASE IN GUARD CELL 1)"
"AT2G33530","Proteases","Ser carboxypeptidase","Ser carboxypeptidase (AtSCPL46) (Peptidase family, S10.A42, MEROPS)"
"AT1G20160","Proteases","Ser protease","Ser protease (subtilisin) (AtSBT5.2) (Peptidase family S08.104, MEROPS)"
"AT3G05910","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 13 - CE13 (pectin acylesterase - PAE) (AtPAE12)"
"AT2G46930","Proteins acting on cell wall polysaccharides","carbohydrate esterase (CE)","carbohydrate esterase family 13 - CE13 (pectin acylesterase - PAE) (AtPAE3)"
"AT3G45970","Proteins acting on cell wall polysaccharides","expansin","expansin-like A (ATHEXP BETA 2.1) (AtEXLA1)"
"AT5G65730","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 16 - GH16 (endoxyloglucan transferase) (At-XTH6)"
"AT4G37800","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 16 - GH16 (endoxyloglucan transferase) (At-XTH7)"
"AT2G43590","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 19 - GH19"
"AT5G08370","Proteins acting on cell wall polysaccharides","glycoside hydrolase (GH)","glycoside hydrolase family 27 - GH27 (alpha-galactosidase/melibiase)"
"AT4G24780","Proteins acting on cell wall polysaccharides","polysaccharide lyase (PL)","polysaccharide lyase family 1 - PL1 (pectate lyase) (AtPLL19)"
"AT4G01130","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT3G05180","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT3G14210","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family) (EPITHIOSPECIFIER MODIFIER 1, ESM1)"
"AT1G29660","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
"AT3G16370","Proteins related to lipid metabolism","GDSL family","lipase acylhydrolase (GDSL family)"
