Phase,LEPR-sym,thermoengine-sym,,Data,Occurrence,Occur (correct),Extra,,,,,
Hematite,hem,,,0,5,5,5,1,,,,
Hibonite,hib,,,0,0,0,0,#DIV/0!,,,,
Hollandite,hol,,,5,5,5,0,0,,,,
Ilmenite,ilm,Ilm,,295,595,595,300,0.504201681,x,,,
K2Ca2Si6O15,kc2s6,,,0,0,0,0,#DIV/0!,,,,
K2Ca2Si9O21,kc2s9,,,0,0,0,0,#DIV/0!,,,,
K2Ca3Si6O16,kc3s6,,,0,0,0,0,#DIV/0!,,,,
K2CaSiO4,kcs,,,0,0,0,0,#DIV/0!,,,,
K4CaSi3O9,k2cs3,,,0,0,0,0,#DIV/0!,,,,
K4CaSi6O15,k2cs6,,,0,0,0,0,#DIV/0!,,,,
K8CaSi10O25,k4cs10,,,0,0,0,0,#DIV/0!,,,,
Kalsilite-hexagonal,kalh,,,25,25,25,0,0,,,,
Kalsilite-orthorhombic,kalo,,,20,20,20,0,0,,,,
Kyanite,ky,Ky,,99,219,219,120,0.547945205,,,,
Leucite,leuc,,,162,182,182,20,0.10989011,,,,
Lime,cao,,,0,0,0,0,#DIV/0!,,,,
Liquid,liq,Liq,,7534,9502,9502,1968,0.207114292,x,,,
Melilite,mel,Mll,,15,16,16,1,0.0625,,,,
Merwinite,merw,,,2,2,2,0,0,,,,
Metal,met,,,0,69,69,69,1,,,,
Montdorite,mondt,,,1,1,1,0,0,,,,
Mullite,mul,,,89,90,90,1,0.011111111,,,,
Muscovite,ms,Ms,,25,66,66,41,0.621212121,,,,
Na-aluminate Ca-ferrite type,cf,,,2,2,2,0,0,,,,
Na-K-rich aluminosilicate,nals,,,3,7,7,4,0.571428571,,,,
Na2Ca2Si3O9,nc2s3,,,0,0,0,0,#DIV/0!,,,,
Na2Ca3Si6O16,nc3s6,,,0,0,0,0,#DIV/0!,,,,
Na4CaSi3O9,n2cs3,,,0,0,0,0,#DIV/0!,,,,
NaAl9O14,naal9,,,0,0,0,0,#DIV/0!,,,,
NaAlO2,na,,,0,0,0,0,#DIV/0!,,,,
NAL,nal,,,,0,0,0,#DIV/0!,,,,
Nepheline,neph,Nph,,75,88,88,13,0.147727273,,,,
Olivine,ol,Ol,,2070,3071,3071,1001,0.325952458,x,,,
Orthopyroxene,opx,Opx,,1587,2505,2505,918,0.366467066,x,,,
Oxide-generic,ox,,,156,253,253,97,0.383399209,,,,
Periclase,per,,,0,9,9,9,1,,,,
Perovskite,pv,,,32,52,52,20,0.384615385,,,,
Phase E,phsE,,,0,2,2,2,1,,,,
Phlogopite,phl,,,5,24,24,19,0.791666667,,,,
Plagioclase,plag,Pl,,1662,2745,2745,1083,0.394535519,x,"An, Ab",,
Potassium disilicate,kdi,,,116,116,116,0,0,,,,
Potassium feldspar,kfs,Kfs,Fsp,204,561,561,357,0.636363636,x,"Mc, Sa, Or",,
Potassium metasilicate,kmeta,,,5,5,5,0,0,,,,
Potassium tetrasilicate,ktetr,,,45,45,45,0,0,,,,
Quartz,qz,Qz,,193,913,913,720,0.788608981,,,,30-60% for the major rock forming minerals 
Rankinite,rank,,,0,0,0,0,#DIV/0!,,,,
Ringwoodite,rgw,,,52,22,52,0,0,,,,
Rutile,rut,Rt,,60,157,157,97,0.617834395,,,,
Sillimanite,sil,Sil,,21,56,56,35,0.625,,,,
Sodalite,sod,,,8,0,8,0,0,,,,
Sodium disilicate,nadi,,,50,50,50,0,0,,,,
Sodium metasilicate,namt,,,40,40,40,0,0,,,,
Sodium orthosilicate,naor,,,11,11,11,0,0,,,,
Spinel,spn,SplS,,1081,2522,2522,1441,0.571371927,x,,,
Staurolite,st,St,,5,4,5,0,0,,,,
Stishovite,stis,,,17,62,62,45,0.725806452,,,,
Sulfide,sul,,,6,11,11,5,0.454545455,,,,
Talc,tc,,,0,4,4,4,1,,,,
Ti-Si composition,tisi,,,1,1,1,0,0,,,,
Titanite,tit,,,7,43,43,36,0.837209302,,,,
Tridymite,trid,,,103,116,116,13,0.112068966,,,,
Wadsleyite,wads,,,15,11,15,0,0,,,,
Whitlockite,wh,,,62,65,65,3,0.046153846,,,,
Wollastonite,wo,,,0,2,2,2,1,,,,
Zoisite,zo,Zo,,25,45,45,20,0.444444444,,,,
,,,,23977,,34925,,,,,,
,,,,,,,,,,,,
,,,,,,0.686528275,,,,,,
