Abbrev,Name,Formula,Parent
Cum,Cummingtonite,Mg7Si8O22(OH)2,
Dph,Daphnite,Fe5Al2Si3O18H8,
Dee,Deerite,Fe18Si12O50H10,
Dia,Diamond,C,
Dsp,Diaspore,AlO(OH) ,
Di,Diopside,CaMgSi2O6 ,
oDi,Orthodiopside,CaMgSi2O6 ,
Dol,Dolomite,CaMg(CO3)2,
Eas,Eastonite,KMg2Al3Si2O12H2,
Ep,Epidote,Ca2Al2FeSi3O13H,
Ess,Essenite,CaFeAlSiO6,
Fa,Fayalite,Fe2SiO4,
FeAc,Ferroactinolite,Ca2Fe5Si8O24H2,
Fprg,Ferropargasite,NaCa2Fe4AlAl2Si6O22(OH)2,
Fpsb,Ferropseudobrookite,FeTi2O5,
Fs,Ferrosilite,FeSiO3,
FeAth,Fe_Anthophyllite,Fe7Si8O22(OH)2,
FeCar,Fe_Carpholite,FeAl2Si2O10H4,
FeCel,Fe_Celadonite,KFeAlSi4O12H2,
FeCtd,Fe Chloritoid,FeAl2SiO7H2,
FeCrd,Fe_Cordierite,Fe2Al4Si5O18,
FeEp,Fe_Epidote,Ca2AlFe2Si3O13H,
FeGl,Fe_Glaucophane,Na2Al2Fe3Si8O24H2,
FeOsm,Fe_Osumilite,KFe2Al5Si10O30,
FeRwd,Fe Ringwoodite,Fe2SiO4,
FeSpr,Fe_Sapphirine,Fe3.5Al9Si1.5O20,
FeSt,Fe_Staurolite,Fe4Al18Si7.5O48H4,
FeSud,Fe_Sudoite,Fe2Al4Si3O18H8,
FeTlc,Fe_Talc,Fe3Si4O12H2,
FeWds,Fe Wadsleyite,Fe2SiO4,
Fo,Forsterite,Mg2SiO4,
Ged,Gedrite,Mg5Al4Si6O24H2,
Gh,Gehlenite,Ca2Al2SiO7,
Gk,Geikielite,MgTiO3,
Gln,Glaucophane,Na2Mg3Al2Si8O24H2,
Gth,Goethite,FeO2H,
Gr,Graphite,C,
Grs,Grossular,Ca3Al2Si3O12,
Gru,Grunerite,Fe7Si8O22(OH)2,
Hl,Halite,NaCl,
Hd,Hedenbergite,CaFeSi2O6,
Hem,Hematite,Fe2O3,
lHem,Hematite (low),Fe2O3,
hHem,Hematite (high),Fe2O3,
Hcrd,Hydrous_Cordierite,Mg2Al4Si5O19H2,
Hc,Hercynite,FeAl2O4,
Hul,Heulandite,CaAl2Si7O24H12,
Ilm,Ilmenite,FeTi2O6,
Fe,Iron,Fe,
fAk,Iron-Akermanite,Ca2FeSi2O7,
Jd,Jadeite,NaAlSi2O6,
Kls,Kalsilite,KAlSiO4,
Kln,Kaolinite,Al2Si2O5(OH)4,
Krt,Karrooite,MgTi2O5,
Ky,Kyanite,Al2SiO5 ,
Lmt,Laumontite,CaAl2Si4O16H8,
Lws,Lawsonite,CaAl2Si2O7(OH)2*H2O,
Lct,Leucite,KAlSi2O6,
Lm,Lime,CaO,
Lrn,Larnite_Bredigite,Ca2SiO4,
Lws,Lawsonite,CaAl2Si2O10H4,
Mfr,Magnesioferrite,MgFe2O4,
Mhs,Magnesiohastingsite,NaCa2Mg4FeAl2Si6O22(OH)2,
MgCar,Mg_Carpholite,MgAl2Si2O10H4,
MgCtd,Mg_Chloritoid,MgAl2SiO7H2,
MgSt,Mg_Staurolite,Mg4Al18Si7.5O48H4,
MgTs,Magnesium Tschermak's Pyroxene,MgAl2SiO6,
MnBt,Mn_Biotite,KMn3AlSi3O12H2,
MnChl,Mn_Chlorite,MnAl2SiO7H2,
MnCtd,Mn_Chloritoid,MnAl2SiO7H2,
MnCrd,Mn_Cordierite,Mn2Al4Si5O18,
MnSt,Mn_Staurolite,Mn4Al18Si7.5O48H4,
Mgs,Magnesite,MgCO3,
Mag,Magnetite,Fe3O4,
lMag,Magnetite (low),Fe3O4,
hMag,Magnetite (high),Fe3O4,
Maj,Majorite,Mg4Si4O12,
NaMaj,Na-Majorite,Na2Al2Si4O12,
Mng,Manganosite,MnO,
Mrg,Margarite,CaAl4Si2O10(OH)2,
Mei,Meionite,Ca4Al6Si6O25(CO2),
Mw,Merwinite,Ca3MgSi2O8,
Spl,Mg-Al Spinel,MgAl2O4,
MgRwd,Mg Ringwoodite,Mg2SiO4,
MgWds,Mg Wadsleyite,Mg2SiO4,
Mc,Microcline,KAlSi3O8,
Mtc,Monticellite,CaMgSiO4,
Ms,Muscovite,KAl3Si3O10(OH)2 ,
nLct,Na-Leucite,NaAlSi2O6,
NaPhl,Na_Phlogopite,NaMg3AlSi3O12H2,
Nph,Nepheline,NaAlSiO4,
Ni,Nickel,Ni,
NiO,Nickel_Oxide,NiO,
NiOl,Ni-Olivine,Ni2SiO4,
Or,Orthoclase,KAlSi3O8,
En,Orthoenstatite,MgSiO3,
Osm1,Osumilite_1,KMg2Al5Si10O30,
Osm2,Osumilite_2,KMg2Al5Si10O30,
Pg,Paragonite,NaAl3Si3O10(OH)2,
Prg,Pargasite,NaCa2Mg4AlAl2Si6O22(OH)2,
Per,Periclase,MgO,
Prv,Perovskite,CaTiO3,
MgPrv,Mg-Perovskite (Bridgmanite),MgSiO3,
FePrv,Fe-Perovskite,FeSiO3,
AlPrv,Al-Perovskite,Al2O3,
PhA,Phase_A,Mg7Si2O14H6,
MgPpv,Mg-Post-Perovskite,MgSiO3,
FePpv,Fe-Post-Perovskite,FeSiO3,
AlPpv,Al-Post-Perovskite,Al2O3,
CaPrv,Calcium Perovskite,CaSiO3,
Phl,Phlogopite,KMg3Si3AlO10(OH)2,
Kfs,Potassium Feldspar,KAlSi3O8,
Prh,Prehnite,Ca2Al2Si3O10(OH)2,
pEn,Protoenstatite,MgSiO3,
Psb,Pseudobrookite,Fe2TiO5,
pWo,Pseudowollastonite,CaSiO3,
Pmp,Pumpellyite,Ca4Al5MgSi6O28H7,
Prp,Pyrope,Mg3Al2Si3O12,
Pph,Pyrophanite,MnTiO3,
Prl,Pyrophyllite,Al2Si4O10(OH)2,
Pxm,Pyroxmangite,MnSiO3,
Qz,Quartz,SiO2,
aQz,Quartz (alpha),SiO2,
bQz,Quartz (beta),SiO2,
Rnk,Rankinite,Ca3Si2O7,
Rbk,Riebeckite,Na2Fe5Si8O24H2,
Rhs,Rhodochrosite,MnCO3,
Rdn,Rhodonite,MnSiO3,
Rt,Rutile,TiO2,
Sa,Sanidine,KAlSi3O8,
Spr4,Sapphirine_442,Mg4Al8Si2O20,
Spr7,Sapphirine_793,Mg3.5Al9Si1.5O20,
Seif,Seifertite,SiO2,
Sd,Siderite,FeCO3,
Sil,Sillimanite,Al2SiO5 ,
fSil,Fibrous Sillimanite (fibrolite),Al2SiO5,
nMll,Soda-Melilite,Na2Si3O7,
Sps,Spessartine,Mn3Al2Si3O12,
Spn,Sphene (titanite),CaTiSiO5,
Spl,Spinel,MgAl2O4,
Spu,Spurrite,Ca5Si2CO11,
Stb,Stilbite,CaAl2Si7O25H14,
Syl,Sylvite,KCl,
Tly,Tilleyite,Ca5Si2C2O13,
Ttn,Titanite (sphene),CaTiSiO5,
Sti,Stishovite,SiO2,
Sud,Sudoite,Mg2Al4Si3O18H8,
Tlc,Talc,Mg3Si4O10(OH)2,
Tep,Tephroite,Mn2SiO4,
Tpz,Hydroxy_Topaz,Al2SiO6H2,
Tr,Tremolite,Ca2Mg5Si8O22(OH)2,
Trd,Tridymite,SiO2,
lTrd,Tridymite (low),SiO2,
hTrd,Tridymite (high),SiO2,
Ts,Tschermakite,Ca2Mg3Al4Si6O24H2,
TsTlc,Tschermak_Talc,Mg2Al2Si3O12H2,
Usp,Ulvospinel,Fe2TiO4,
Ves,Vesuvianite,Ca19Mg2Al11Si18O78H9,
Wrk,Wairakite,CaAl2Si4O14H4,
Wht,Whitlockite,Ca3(PO4)2,
Wo,Wollastonite,CaSiO3,
Wus,Wustite,FeO,
Zrn,Zircon,ZrSiO4,
Zo,Zoisite,Ca2Al3Si3O12(OH) ,
H2,Hydrogen Gas,H2,
O2,Oxygen Gas,O2,
CO2,Carbon Dioxide Gas,CO2,
CO,Carbon_Monoxide,CO,
CH4,Methane,CH4,
S2,Sulfur Gas,S2,
H2O,Water Fluid,H2O,
AbL,Albite_Liquid,NaAlSi3O8,
AnL,Anorthite_Liquid,CaAl2Si2O8,
DiL,Diopside_Liquid,CaMgSi2O6,
EnL,Enstatite_Liquid,Mg2Si2O6,
FaL,Fayalite_Liquid,Fe2SiO4,
FoL,Forsterite_Liquid,Mg2SiO4,
H2oL,H2O_Liquid,H2O,
HlL,Halite_Liquid,NaCl,
SaL,K_Feldspar_Liquid,KCl,
QzL,Silica_Liquid,SiO2,
SilL,Sillimanite_Liquid,Al2SiO5,
SylL,Sylvite_Liquid,KCl,
